State,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Policies,Policy Type,Policy,Renew Offer Type,Total Claim Amount,Vehicle Class,Vehicle Size,Customer Lifetime Value
Oregon,Extended,High School or Below,2/10/2011,Employed,M,40352,Suburban,Married,77,31,33,3,Corporate Auto,Corporate L2,Offer1,406.367233,Four-Door Car,Small,6188.379423
Arizona,Basic,Bachelor,1/31/2011,Disabled,F,14985,Suburban,Married,116,12,45,1,Personal Auto,Personal L3,Offer1,571.319514,Sports Car,Medsize,4506.577736
Arizona,Extended,Doctor,1/15/2011,Employed,F,27458,Suburban,Married,131,18,62,3,Personal Auto,Personal L1,Offer3,730.373515,Sports Car,Medsize,10548.53703
Oregon,Premium,Bachelor,2/26/2011,Employed,F,56343,Suburban,Divorced,295,11,69,2,Personal Auto,Personal L3,Offer1,1612.962321,Luxury Car,Medsize,35203.57475
California,Basic,College,1/1/2011,Medical Leave,F,12780,Rural,Married,111,17,53,6,Personal Auto,Personal L1,Offer2,225.437098,Sports Car,Medsize,8193.750001
California,Extended,Bachelor,1/22/2011,Employed,F,68558,Rural,Married,131,16,11,1,Personal Auto,Personal L3,Offer1,280.903779,SUV,Medsize,5313.436344
California,Premium,College,2/22/2011,Employed,F,47747,Rural,Divorced,111,31,76,1,Personal Auto,Personal L3,Offer3,165.588524,Two-Door Car,Medsize,4379.770178
Oregon,Extended,Bachelor,1/23/2011,Medical Leave,M,16113,Suburban,Married,81,27,19,2,Corporate Auto,Corporate L2,Offer2,494.890996,Four-Door Car,Small,20885.55547
Oregon,Extended,Bachelor,1/3/2011,Unemployed,M,0,Suburban,Single,79,6,55,1,Personal Auto,Personal L3,Offer1,379.2,Four-Door Car,Medsize,2771.963072
California,Basic,High School or Below,1/7/2011,Employed,F,39626,Suburban,Married,69,23,0,3,Personal Auto,Personal L3,Offer2,485.705851,Four-Door Car,Large,5461.548993
California,Basic,High School or Below,2/17/2011,Employed,F,49304,Suburban,Single,65,28,48,1,Corporate Auto,Corporate L2,Offer1,312,Four-Door Car,Medsize,2570.235172
Oregon,Basic,High School or Below,1/5/2011,Retired,M,27972,Suburban,Married,61,7,38,1,Personal Auto,Personal L3,Offer3,292.8,Four-Door Car,Medsize,2227.072755
California,Basic,College,2/3/2011,Employed,F,27568,Urban,Married,68,0,62,3,Personal Auto,Personal L3,Offer3,278.689331,Two-Door Car,Medsize,5394.000979
Washington,Basic,Bachelor,1/15/2011,Retired,M,25905,Suburban,Divorced,63,21,12,1,Personal Auto,Personal L3,Offer1,302.4,Four-Door Car,Large,2300.691547
Washington,Basic,Bachelor,1/3/2011,Employed,M,21442,Suburban,Married,108,16,83,2,Corporate Auto,Corporate L3,Offer1,518.4,SUV,Medsize,25360.10404
Nevada,Premium,High School or Below,1/14/2011,Employed,F,34516,Rural,Married,113,12,70,1,Special Auto,Special L2,Offer4,42.950852,Four-Door Car,Medsize,4374.038985
Nevada,Basic,High School or Below,2/8/2011,Unemployed,M,0,Suburban,Married,68,11,90,4,Personal Auto,Personal L1,Offer3,342.468248,Four-Door Car,Small,4953.358432
Oregon,Premium,College,2/1/2011,Employed,F,28354,Urban,Divorced,118,33,20,1,Personal Auto,Personal L3,Offer2,320.327775,Two-Door Car,Large,4590.811214
Arizona,Basic,College,1/21/2011,Unemployed,F,0,Suburban,Single,72,22,58,5,Personal Auto,Personal L3,Offer3,345.6,Two-Door Car,Large,5062.37379
California,Basic,Master,1/26/2011,Employed,M,37722,Rural,Single,116,8,23,8,Personal Auto,Personal L1,Offer1,158.077504,Sports Car,Medsize,9075.768214
Arizona,Basic,Bachelor,1/25/2011,Employed,F,32021,Suburban,Single,70,12,58,2,Personal Auto,Personal L2,Offer1,336,Four-Door Car,Small,8133.157212
Oregon,Basic,Bachelor,2/24/2011,Medical Leave,F,13393,Rural,Married,73,31,11,1,Personal Auto,Personal L3,Offer2,34.708194,Four-Door Car,Medsize,2869.301319
Oregon,Basic,College,2/5/2011,Retired,M,13624,Suburban,Divorced,117,4,11,2,Personal Auto,Personal L1,Offer4,561.6,Sports Car,Medsize,27937.75093
Nevada,Basic,College,1/19/2011,Employed,F,27800,Suburban,Single,67,9,78,1,Personal Auto,Personal L2,Offer4,321.6,Two-Door Car,Medsize,2606.186321
California,Basic,College,2/4/2011,Employed,F,58419,Rural,Married,191,29,6,1,Personal Auto,Personal L2,Offer4,202.468807,Luxury Car,Medsize,7764.273102
Nevada,Extended,High School or Below,2/8/2011,Employed,M,50407,Urban,Married,92,30,67,2,Personal Auto,Personal L3,Offer1,352.060768,Four-Door Car,Medsize,18380.39026
Arizona,Extended,Bachelor,2/5/2011,Unemployed,F,0,Suburban,Single,84,0,76,4,Personal Auto,Personal L3,Offer1,856.347474,Four-Door Car,Large,6102.953572
Washington,Basic,High School or Below,1/24/2011,Employed,M,77603,Suburban,Married,114,10,83,8,Personal Auto,Personal L1,Offer2,547.2,SUV,Medsize,9191.672825
California,Premium,College,1/23/2011,Employed,F,75606,Suburban,Married,119,6,97,7,Personal Auto,Personal L3,Offer1,571.2,Four-Door Car,Medsize,9581.281433
Arizona,Extended,Bachelor,2/19/2011,Employed,M,41458,Rural,Single,98,6,67,3,Personal Auto,Personal L3,Offer3,191.100227,Four-Door Car,Medsize,7532.262392
Oregon,Basic,College,1/20/2011,Unemployed,M,0,Suburban,Married,74,6,61,1,Personal Auto,Personal L3,Offer1,420.765993,Two-Door Car,Medsize,2795.321353
Washington,Extended,High School or Below,2/25/2011,Unemployed,M,0,Suburban,Divorced,82,13,87,7,Personal Auto,Personal L3,Offer1,445.001296,Two-Door Car,Medsize,5673.840992
Arizona,Basic,Bachelor,1/1/2011,Employed,F,70619,Rural,Married,187,2,84,3,Personal Auto,Personal L3,Offer3,293.948632,Luxury Car,Medsize,15016.18511
California,Extended,Doctor,1/10/2011,Employed,M,41273,Urban,Married,77,16,19,1,Personal Auto,Personal L3,Offer2,221.226696,Four-Door Car,Medsize,3087.249746
Arizona,Basic,College,1/6/2011,Employed,F,46946,Suburban,Divorced,70,10,37,9,Personal Auto,Personal L3,Offer2,336,Four-Door Car,Medsize,5480.701059
Oregon,Premium,College,2/13/2011,Unemployed,M,0,Suburban,Single,113,10,97,9,Corporate Auto,Corporate L3,Offer1,542.4,Four-Door Car,Medsize,7944.973807
Oregon,Basic,Bachelor,1/14/2011,Employed,M,99180,Rural,Married,106,15,20,3,Personal Auto,Personal L1,Offer3,33.751887,SUV,Small,8543.247323
California,Basic,College,2/24/2011,Employed,F,55350,Suburban,Married,67,0,13,9,Personal Auto,Personal L1,Offer1,321.6,Four-Door Car,Medsize,5380.898636
California,Basic,College,1/10/2011,Retired,M,28215,Suburban,Single,65,15,26,3,Personal Auto,Personal L3,Offer1,468,Two-Door Car,Medsize,4650.063763
Nevada,Basic,College,1/30/2011,Employed,F,75425,Suburban,Divorced,116,25,88,2,Personal Auto,Personal L3,Offer2,663.643801,Sports Car,Medsize,36946.06393
Nevada,Extended,High School or Below,1/25/2011,Employed,F,63583,Rural,Married,83,15,8,1,Special Auto,Special L1,Offer4,167.39959,Four-Door Car,Medsize,3314.55133
California,Basic,Bachelor,1/12/2011,Unemployed,M,0,Suburban,Single,66,27,28,3,Personal Auto,Personal L1,Offer3,475.2,Four-Door Car,Small,4566.377261
Nevada,Extended,High School or Below,1/27/2011,Employed,F,37995,Suburban,Married,139,16,50,1,Personal Auto,Personal L3,Offer1,667.2,SUV,Medsize,5597.12496
Nevada,Basic,Master,1/23/2011,Employed,F,37125,Urban,Married,63,29,78,1,Personal Auto,Personal L2,Offer2,290.911693,Four-Door Car,Large,2540.551456
California,Basic,College,1/29/2011,Employed,M,53357,Rural,Married,73,4,77,1,Personal Auto,Personal L3,Offer2,55.320014,Four-Door Car,Medsize,2939.330187
California,Basic,Bachelor,1/23/2011,Employed,F,70140,Suburban,Married,199,25,15,7,Corporate Auto,Corporate L3,Offer2,955.2,Luxury Car,Medsize,16068.34838
Oregon,Basic,College,1/16/2011,Employed,M,52380,Suburban,Married,186,27,76,1,Personal Auto,Personal L2,Offer1,892.8,Luxury SUV,Small,7360.873696
California,Basic,High School or Below,1/29/2011,Employed,M,79292,Rural,Married,67,18,58,1,Corporate Auto,Corporate L2,Offer2,55.394702,Four-Door Car,Medsize,2700.985899
Oregon,Extended,College,1/12/2011,Unemployed,F,0,Suburban,Single,92,31,24,1,Personal Auto,Personal L3,Offer3,774.892461,Two-Door Car,Small,3095.705571
Nevada,Extended,College,1/25/2011,Unemployed,F,0,Suburban,Single,123,14,97,1,Personal Auto,Personal L2,Offer1,1480.336748,SUV,Medsize,4383.751482
Oregon,Extended,High School or Below,1/1/2011,Employed,F,75425,Suburban,Married,123,3,49,6,Personal Auto,Personal L1,Offer1,823.798803,Sports Car,Large,9928.874825
Arizona,Basic,Bachelor,1/23/2011,Disabled,M,20992,Suburban,Married,64,21,73,1,Personal Auto,Personal L3,Offer2,307.2,Two-Door Car,Medsize,2399.17815
Washington,Extended,Bachelor,1/28/2011,Employed,M,57428,Suburban,Married,85,34,40,1,Corporate Auto,Corporate L3,Offer1,414.649796,Four-Door Car,Medsize,3402.777293
California,Basic,College,2/18/2011,Employed,M,92606,Urban,Married,109,26,75,3,Special Auto,Special L3,Offer2,287.437831,SUV,Medsize,8711.302422
California,Basic,High School or Below,1/31/2011,Employed,M,86001,Suburban,Divorced,109,4,27,1,Personal Auto,Personal L3,Offer1,523.2,SUV,Medsize,4358.762008
Arizona,Basic,Master,1/19/2011,Employed,M,79751,Suburban,Married,63,15,67,1,Personal Auto,Personal L1,Offer3,392.235698,Two-Door Car,Small,2551.226692
Arizona,Basic,Bachelor,2/9/2011,Employed,F,68654,Urban,Married,71,32,21,9,Personal Auto,Personal L3,Offer1,208.048487,Four-Door Car,Medsize,5642.747998
Arizona,Basic,Master,2/17/2011,Unemployed,F,0,Urban,Single,61,7,71,9,Personal Auto,Personal L2,Offer1,208.892861,Two-Door Car,Medsize,4151.667368
Oregon,Basic,Doctor,1/26/2011,Employed,F,92629,Rural,Single,72,22,1,1,Personal Auto,Personal L2,Offer2,60.845685,Four-Door Car,Medsize,2842.025913
California,Basic,High School or Below,1/12/2011,Employed,F,54094,Urban,Single,112,9,51,4,Corporate Auto,Corporate L2,Offer1,502.994931,SUV,Medsize,8791.444942
Nevada,Basic,College,2/2/2011,Employed,M,95419,Suburban,Married,70,6,61,2,Personal Auto,Personal L3,Offer3,336,Four-Door Car,Medsize,8268.272933
Oregon,Basic,High School or Below,1/15/2011,Employed,F,66466,Urban,Married,71,20,35,2,Personal Auto,Personal L3,Offer2,293.016168,Four-Door Car,Medsize,8581.637267
Arizona,Extended,High School or Below,1/1/2011,Employed,M,68131,Rural,Married,130,22,27,1,Personal Auto,Personal L2,Offer4,226.607648,SUV,Medsize,5244.40475
Nevada,Basic,Bachelor,1/12/2011,Employed,F,56481,Urban,Married,106,7,17,3,Personal Auto,Personal L1,Offer1,273.250112,SUV,Medsize,8509.019846
California,Basic,College,2/10/2011,Employed,M,70082,Suburban,Married,119,17,23,1,Personal Auto,Personal L2,Offer1,571.2,SUV,Small,4743.615503
Nevada,Basic,Bachelor,2/8/2011,Employed,M,51437,Rural,Married,115,35,30,2,Corporate Auto,Corporate L1,Offer3,244.086665,SUV,Medsize,22754.66137
Nevada,Basic,High School or Below,1/26/2011,Unemployed,M,0,Suburban,Single,73,6,97,9,Personal Auto,Personal L3,Offer2,525.6,Four-Door Car,Medsize,5335.015944
Oregon,Extended,College,2/10/2011,Disabled,M,27972,Urban,Married,90,13,7,8,Corporate Auto,Corporate L3,Offer3,240.318607,Two-Door Car,Medsize,6966.319103
Arizona,Extended,High School or Below,2/11/2011,Employed,F,24930,Suburban,Married,76,7,16,2,Personal Auto,Personal L3,Offer1,364.8,Four-Door Car,Medsize,21205.37785
Nevada,Premium,Master,2/6/2011,Employed,F,26245,Rural,Single,110,6,43,1,Personal Auto,Personal L3,Offer4,44.284642,Two-Door Car,Medsize,4271.200049
California,Basic,Bachelor,2/5/2011,Employed,F,57883,Suburban,Married,69,4,0,9,Personal Auto,Personal L3,Offer3,431.847824,Four-Door Car,Small,5580.818466
Nevada,Basic,College,1/5/2011,Unemployed,F,0,Suburban,Single,64,20,4,1,Corporate Auto,Corporate L2,Offer2,483.25721,Four-Door Car,Medsize,2224.089639
Oregon,Basic,College,1/17/2011,Employed,F,58828,Suburban,Married,68,13,98,1,Personal Auto,Personal L3,Offer1,446.751243,Four-Door Car,Small,2709.539796
Arizona,Basic,College,1/10/2011,Employed,M,51906,Suburban,Married,73,29,78,1,Corporate Auto,Corporate L2,Offer2,374.864662,Four-Door Car,Medsize,2890.338106
Oregon,Extended,College,1/31/2011,Employed,M,28095,Suburban,Married,82,18,2,8,Personal Auto,Personal L3,Offer3,393.6,Four-Door Car,Medsize,6403.577368
California,Basic,Bachelor,2/16/2011,Employed,F,88723,Suburban,Divorced,74,12,94,8,Personal Auto,Personal L2,Offer1,355.2,Two-Door Car,Medsize,5981.381645
California,Extended,High School or Below,1/16/2011,Employed,F,53078,Urban,Married,79,29,81,8,Corporate Auto,Corporate L3,Offer2,200.97608,Four-Door Car,Medsize,6225.022266
California,Basic,Bachelor,1/30/2011,Employed,F,88895,Rural,Divorced,106,0,87,8,Personal Auto,Personal L1,Offer1,209.863509,Sports Car,Medsize,8496.358981
Arizona,Extended,Bachelor,1/8/2011,Employed,F,60078,Rural,Married,127,23,60,3,Corporate Auto,Corporate L1,Offer3,140.819942,SUV,Medsize,10213.99111
California,Basic,College,2/27/2011,Unemployed,M,0,Suburban,Single,67,26,4,3,Personal Auto,Personal L1,Offer1,321.6,Two-Door Car,Medsize,4547.162694
Nevada,Basic,Master,2/8/2011,Employed,F,45820,Urban,Married,71,4,89,8,Corporate Auto,Corporate L1,Offer1,249.742856,Four-Door Car,Medsize,5741.696078
Arizona,Basic,Bachelor,2/14/2011,Unemployed,M,0,Suburban,Single,73,12,84,1,Personal Auto,Personal L1,Offer2,677.970934,Four-Door Car,Medsize,2388.353882
California,Premium,College,1/19/2011,Medical Leave,M,12439,Suburban,Divorced,115,22,78,2,Corporate Auto,Corporate L1,Offer2,552,Two-Door Car,Medsize,12624.96121
California,Basic,Bachelor,1/27/2011,Employed,M,25998,Suburban,Married,71,16,38,2,Personal Auto,Personal L3,Offer2,791.878042,Four-Door Car,Medsize,8382.478392
Arizona,Basic,College,1/31/2011,Employed,M,98451,Suburban,Married,62,19,57,3,Personal Auto,Personal L3,Offer4,316.546868,Four-Door Car,Small,4964.666365
California,Basic,Bachelor,1/11/2011,Employed,F,23803,Suburban,Married,72,11,90,1,Corporate Auto,Corporate L2,Offer4,410.548521,Two-Door Car,Small,2871.437451
California,Extended,College,2/14/2011,Unemployed,M,0,Suburban,Divorced,124,12,58,2,Special Auto,Special L2,Offer1,595.2,SUV,Small,13080.78528
Oregon,Basic,High School or Below,1/13/2011,Disabled,F,26100,Suburban,Single,67,6,29,1,Personal Auto,Personal L3,Offer1,482.4,Four-Door Car,Medsize,2482.411991
Nevada,Basic,Bachelor,1/16/2011,Unemployed,F,0,Suburban,Single,73,8,63,1,Personal Auto,Personal L3,Offer4,376.923839,Four-Door Car,Medsize,2726.834065
Oregon,Basic,Master,2/5/2011,Unemployed,M,0,Urban,Single,67,10,38,9,Personal Auto,Personal L3,Offer2,315.215329,Four-Door Car,Medsize,4776.186527
Nevada,Extended,Bachelor,2/3/2011,Employed,M,65252,Suburban,Divorced,78,27,75,9,Personal Auto,Personal L3,Offer2,482.48791,Four-Door Car,Medsize,6091.89923
California,Extended,Bachelor,2/3/2011,Employed,F,48567,Suburban,Single,130,12,15,1,Personal Auto,Personal L3,Offer2,624,SUV,Medsize,5015.009472
Oregon,Premium,High School or Below,1/21/2011,Employed,F,34337,Suburban,Married,113,20,44,9,Personal Auto,Personal L3,Offer2,542.4,Four-Door Car,Large,9035.671134
Nevada,Premium,College,1/1/2011,Medical Leave,F,20394,Urban,Married,115,28,84,1,Personal Auto,Personal L3,Offer1,508.614758,Two-Door Car,Medsize,4381.880534
Washington,Extended,High School or Below,2/25/2011,Unemployed,F,0,Suburban,Single,76,20,17,6,Personal Auto,Personal L1,Offer3,784.611446,Two-Door Car,Small,5775.517825
Arizona,Basic,High School or Below,1/18/2011,Unemployed,F,0,Suburban,Single,61,17,1,7,Personal Auto,Personal L2,Offer1,292.8,Four-Door Car,Small,4250.282624
California,Basic,College,2/2/2011,Employed,M,31617,Urban,Single,62,17,29,1,Personal Auto,Personal L1,Offer1,244.269407,Four-Door Car,Small,2347.048112
California,Basic,High School or Below,1/16/2011,Unemployed,F,0,Suburban,Married,62,31,30,2,Corporate Auto,Corporate L3,Offer2,297.6,Four-Door Car,Medsize,6940.069184
Washington,Basic,Master,1/7/2011,Employed,M,21104,Rural,Divorced,66,34,74,1,Personal Auto,Personal L3,Offer4,118.454974,Four-Door Car,Medsize,2572.506605
Arizona,Basic,College,1/14/2011,Employed,M,37748,Suburban,Married,181,21,22,2,Personal Auto,Personal L2,Offer1,868.8,Luxury Car,Small,41491.74481
California,Extended,Bachelor,1/18/2011,Unemployed,F,0,Urban,Married,96,19,30,1,Personal Auto,Personal L3,Offer1,438.661509,Four-Door Car,Medsize,3571.346578
Oregon,Extended,Bachelor,1/7/2011,Employed,M,25023,Suburban,Single,82,31,38,2,Corporate Auto,Corporate L3,Offer1,397.139856,Two-Door Car,Medsize,12734.21253
Oregon,Basic,College,2/24/2011,Unemployed,F,0,Urban,Married,62,22,57,9,Special Auto,Special L3,Offer3,271.164139,Four-Door Car,Medsize,4529.112791
Oregon,Premium,Bachelor,1/13/2011,Medical Leave,F,14108,Suburban,Married,109,27,88,1,Personal Auto,Personal L1,Offer1,523.2,Four-Door Car,Small,4177.876779
Washington,Extended,High School or Below,1/26/2011,Employed,F,23923,Suburban,Married,82,29,61,2,Personal Auto,Personal L3,Offer3,393.6,Four-Door Car,Medsize,9824.745841
Oregon,Basic,High School or Below,2/17/2011,Unemployed,M,0,Suburban,Married,67,1,19,1,Special Auto,Special L2,Offer4,321.6,Four-Door Car,Medsize,2430.801647
Washington,Extended,Master,2/20/2011,Employed,F,22705,Suburban,Divorced,239,19,59,7,Personal Auto,Personal L1,Offer2,1294.700423,Luxury SUV,Medsize,19160.98994
California,Extended,High School or Below,1/25/2011,Unemployed,F,0,Suburban,Married,89,10,83,1,Corporate Auto,Corporate L3,Offer1,427.2,Two-Door Car,Large,3301.518961
Oregon,Basic,College,1/3/2011,Unemployed,M,0,Suburban,Single,69,31,89,5,Personal Auto,Personal L2,Offer1,506.92275,Four-Door Car,Large,4692.098956
Arizona,Basic,College,2/5/2011,Employed,M,50825,Urban,Married,102,3,46,3,Personal Auto,Personal L1,Offer1,369.614729,SUV,Medsize,8092.87696
Arizona,Basic,College,2/22/2011,Medical Leave,M,14616,Suburban,Married,106,16,23,1,Personal Auto,Personal L3,Offer1,575.260213,SUV,Small,3964.534974
Oregon,Basic,High School or Below,1/17/2011,Unemployed,M,0,Urban,Married,69,5,74,1,Corporate Auto,Corporate L2,Offer2,272.381465,Two-Door Car,Medsize,2497.531509
Arizona,Extended,College,2/12/2011,Employed,M,29504,Suburban,Single,125,16,29,9,Personal Auto,Personal L3,Offer4,1224.56345,SUV,Medsize,9656.212573
California,Premium,College,2/6/2011,Employed,M,58789,Rural,Married,111,4,69,3,Corporate Auto,Corporate L2,Offer3,215.438825,Four-Door Car,Medsize,8888.143979
Oregon,Basic,College,1/18/2011,Employed,F,29491,Suburban,Married,61,26,62,2,Personal Auto,Personal L2,Offer3,292.8,Four-Door Car,Medsize,7347.410517
Arizona,Premium,High School or Below,1/19/2011,Employed,F,78077,Urban,Married,107,11,47,6,Personal Auto,Personal L3,Offer2,438.069458,Four-Door Car,Medsize,8578.364528
California,Extended,High School or Below,1/18/2011,Unemployed,F,0,Suburban,Single,96,2,53,1,Personal Auto,Personal L3,Offer3,799.251165,Two-Door Car,Small,3467.323976
Nevada,Basic,Bachelor,1/13/2011,Employed,M,76558,Urban,Married,74,2,45,2,Special Auto,Special L1,Offer4,216.980413,Four-Door Car,Medsize,8901.468512
California,Basic,Bachelor,2/5/2011,Employed,M,78618,Urban,Divorced,66,7,56,1,Personal Auto,Personal L3,Offer1,225.578841,Two-Door Car,Medsize,2619.337376
Oregon,Basic,Bachelor,1/21/2011,Employed,M,82664,Rural,Married,114,24,10,9,Corporate Auto,Corporate L3,Offer2,133.425609,SUV,Medsize,8838.085637
Oregon,Extended,Doctor,1/16/2011,Medical Leave,M,23053,Suburban,Married,132,5,97,8,Personal Auto,Personal L1,Offer2,780.941649,Sports Car,Medsize,10127.77087
Nevada,Basic,Bachelor,1/5/2011,Employed,M,50250,Suburban,Married,117,3,93,1,Personal Auto,Personal L3,Offer3,561.6,SUV,Medsize,4633.452912
Oregon,Basic,High School or Below,2/3/2011,Employed,M,32169,Urban,Married,199,0,74,1,Personal Auto,Personal L3,Offer4,785.82348,Luxury SUV,Medsize,7796.000083
Washington,Extended,Master,2/15/2011,Unemployed,M,0,Urban,Married,80,28,97,1,Corporate Auto,Corporate L3,Offer1,286.115778,Four-Door Car,Medsize,2993.024583
Arizona,Basic,College,1/6/2011,Employed,F,99069,Rural,Married,66,7,28,2,Corporate Auto,Corporate L2,Offer4,77.442722,Four-Door Car,Medsize,7985.472561
Oregon,Extended,College,1/5/2011,Medical Leave,M,20978,Suburban,Married,98,19,96,1,Personal Auto,Personal L3,Offer2,1176.2788,Four-Door Car,Small,3508.569533
Arizona,Basic,College,2/2/2011,Medical Leave,F,17576,Suburban,Married,71,29,70,1,Personal Auto,Personal L1,Offer2,398.502948,Four-Door Car,Medsize,2722.210707
Nevada,Basic,Bachelor,1/22/2011,Employed,M,42297,Urban,Married,71,29,62,1,Personal Auto,Personal L3,Offer4,200.38673,Four-Door Car,Medsize,2783.583044
Arizona,Premium,Bachelor,1/21/2011,Unemployed,F,0,Suburban,Married,115,0,3,3,Special Auto,Special L1,Offer1,824.597262,Four-Door Car,Small,8649.997286
California,Basic,College,1/5/2011,Unemployed,F,0,Rural,Married,63,21,23,7,Personal Auto,Personal L3,Offer1,151.231247,Four-Door Car,Medsize,4652.91278
Nevada,Premium,Doctor,1/11/2011,Unemployed,F,0,Rural,Married,110,22,72,9,Personal Auto,Personal L1,Offer1,161.092415,Four-Door Car,Medsize,8395.806331
Arizona,Basic,College,1/14/2011,Employed,F,48990,Suburban,Married,74,3,20,2,Personal Auto,Personal L3,Offer2,355.2,Four-Door Car,Medsize,8804.53711
Oregon,Basic,College,2/28/2011,Disabled,M,16916,Suburban,Married,64,31,31,2,Personal Auto,Personal L2,Offer3,377.512951,Four-Door Car,Medsize,7155.337765
Oregon,Basic,Bachelor,2/25/2011,Disabled,M,18375,Suburban,Married,103,8,50,1,Personal Auto,Personal L1,Offer1,535.080276,Sports Car,Large,3954.344534
Oregon,Basic,College,1/17/2011,Medical Leave,M,17150,Suburban,Married,65,28,19,2,Personal Auto,Personal L2,Offer1,689.800891,Two-Door Car,Medsize,15032.9003
Washington,Basic,Bachelor,1/12/2011,Disabled,F,23815,Suburban,Married,73,4,47,2,Personal Auto,Personal L1,Offer2,424.330166,Four-Door Car,Medsize,8257.666512
Arizona,Basic,College,1/19/2011,Disabled,F,21947,Suburban,Married,118,30,76,9,Personal Auto,Personal L3,Offer1,566.4,SUV,Large,9256.918609
Arizona,Extended,Bachelor,1/20/2011,Unemployed,M,0,Suburban,Single,97,4,11,4,Personal Auto,Personal L1,Offer1,863.219668,Four-Door Car,Medsize,6507.751779
Nevada,Basic,Bachelor,1/21/2011,Employed,F,89451,Rural,Single,63,11,2,1,Personal Auto,Personal L3,Offer2,61.769564,Four-Door Car,Medsize,2530.705137
Washington,Basic,Bachelor,2/10/2011,Employed,F,79325,Urban,Married,68,4,31,4,Corporate Auto,Corporate L2,Offer2,251.294821,Four-Door Car,Medsize,5482.549359
Oregon,Basic,College,2/26/2011,Employed,M,88454,Urban,Divorced,101,8,89,1,Personal Auto,Personal L3,Offer1,308.749796,SUV,Medsize,4050.506193
California,Extended,High School or Below,1/10/2011,Unemployed,F,0,Suburban,Divorced,87,2,41,3,Personal Auto,Personal L2,Offer3,417.6,Four-Door Car,Medsize,6326.679236
California,Basic,College,2/4/2011,Medical Leave,F,20943,Urban,Married,69,0,86,1,Personal Auto,Personal L3,Offer3,240.00056,Four-Door Car,Medsize,2627.76229
California,Basic,Bachelor,2/7/2011,Employed,M,51972,Suburban,Married,66,19,22,2,Personal Auto,Personal L2,Offer2,316.8,Four-Door Car,Medsize,7814.604545
Oregon,Extended,College,1/16/2011,Employed,F,54408,Urban,Married,79,29,17,4,Personal Auto,Personal L1,Offer2,288.329793,Four-Door Car,Medsize,6314.579645
Nevada,Extended,Bachelor,1/20/2011,Employed,F,23751,Suburban,Single,82,4,9,7,Personal Auto,Personal L2,Offer1,586.921708,Two-Door Car,Medsize,6386.278164
California,Basic,Bachelor,2/11/2011,Employed,F,37612,Suburban,Divorced,64,0,32,1,Personal Auto,Personal L2,Offer3,307.2,Four-Door Car,Small,2537.969253
Oregon,Basic,Bachelor,2/28/2011,Employed,F,91603,Suburban,Single,69,4,92,3,Personal Auto,Personal L2,Offer1,472.67262,Four-Door Car,Small,5335.375586
Arizona,Basic,High School or Below,1/10/2011,Unemployed,F,0,Suburban,Married,62,12,53,3,Personal Auto,Personal L3,Offer2,639.758314,Two-Door Car,Medsize,4549.079221
Oregon,Extended,High School or Below,1/8/2011,Disabled,M,16450,Suburban,Married,128,6,81,1,Corporate Auto,Corporate L3,Offer1,871.484565,SUV,Medsize,4836.21886
Oregon,Extended,Bachelor,2/24/2011,Employed,M,50864,Rural,Married,83,18,86,4,Corporate Auto,Corporate L1,Offer1,158.362972,Four-Door Car,Medsize,6478.801192
Arizona,Basic,College,2/16/2011,Employed,F,74560,Suburban,Divorced,110,31,20,2,Personal Auto,Personal L3,Offer1,528,SUV,Medsize,35440.14262
California,Basic,High School or Below,2/24/2011,Employed,M,62488,Urban,Married,62,35,47,1,Personal Auto,Personal L3,Offer2,200.689331,Four-Door Car,Medsize,2404.380963
California,Premium,Bachelor,2/14/2011,Employed,F,55837,Suburban,Single,117,16,35,9,Personal Auto,Personal L1,Offer2,741.867506,Two-Door Car,Medsize,9264.565015
Oregon,Basic,College,2/28/2011,Unemployed,F,0,Suburban,Single,66,12,71,1,Personal Auto,Personal L3,Offer1,475.2,Two-Door Car,Medsize,2433.024631
California,Basic,College,1/6/2011,Employed,F,97742,Rural,Single,67,33,57,5,Personal Auto,Personal L1,Offer1,67.648392,Four-Door Car,Small,5367.089817
Oregon,Basic,Bachelor,1/24/2011,Unemployed,F,0,Suburban,Single,69,13,75,1,Personal Auto,Personal L3,Offer1,496.8,Four-Door Car,Medsize,2452.360892
Nevada,Basic,High School or Below,1/2/2011,Employed,F,64125,Urban,Married,108,3,44,3,Personal Auto,Personal L3,Offer2,369.818708,SUV,Large,8646.504109
Arizona,Basic,College,1/6/2011,Unemployed,M,0,Suburban,Single,62,22,39,6,Personal Auto,Personal L2,Offer3,446.4,Four-Door Car,Medsize,4340.086445
Washington,Basic,Doctor,1/20/2011,Employed,M,70412,Rural,Married,61,27,12,3,Corporate Auto,Corporate L3,Offer3,136.291083,Two-Door Car,Medsize,4930.949334
Washington,Basic,Bachelor,1/20/2011,Unemployed,F,0,Suburban,Married,70,13,8,3,Personal Auto,Personal L2,Offer1,336,Two-Door Car,Medsize,5292.632491
California,Premium,High School or Below,1/26/2011,Employed,M,66267,Suburban,Married,111,23,95,3,Personal Auto,Personal L2,Offer3,1093.708851,Four-Door Car,Small,8986.610653
